Point,Northing,Easting,Elevation,Code,Timestamp,Comment
BASE2,243740.726,2385660.242,339.130,BASE,2010-03-31T10:11:55,
BM2,243594.399,2385113.948,319.301,BM,2010-03-31T10:18:27,
BM4,243382.723,2384932.203,327.067,BM,2010-03-31T10:24:02,
BM3,243531.533,2385272.930,319.348,BM,2010-03-31T10:43:59,
BM5,244312.680,2385257.132,319.912,BM,2010-03-31T11:10:35,
BASE3,243740.726,2385660.242,339.130,BASE,2010-04-01T09:10:26,
103,244348.401,2385050.364,308.792,XS JST GND,2010-04-01T09:32:36,XS-12
104,244349.231,2385050.304,308.786,XS GND,2010-04-01T09:33:06,
105,244350.317,2385050.180,308.766,XS GND,2010-04-01T09:33:23,
106,244351.387,2385050.071,308.788,XS GND,2010-04-01T09:33:38,
107,244352.498,2385049.901,308.860,XS GND,2010-04-01T09:33:54,
108,244353.715,2385049.741,308.874,XS GND,2010-04-01T09:34:08,
109,244355.155,2385049.659,308.643,XS GND,2010-04-01T09:34:27,
110,244356.410,2385049.467,308.423,XS GND,2010-04-01T09:34:42,
111,244357.575,2385049.246,308.396,XS GND,2010-04-01T09:34:56,
112,244358.551,2385049.171,308.476,XS GND,2010-04-01T09:35:11,
113,244359.530,2385049.041,308.487,XS GND,2010-04-01T09:35:23,
114,244360.149,2385049.008,308.220,XS GND,2010-04-01T09:35:37,
115,244360.780,2385048.979,307.479,XS GND,2010-04-01T09:35:52,
116,244361.076,2385048.979,307.211,XS GND,2010-04-01T09:36:04,
117,244361.463,2385048.989,306.872,XS WSE,2010-04-01T09:36:54,
118,244362.079,2385048.725,306.514,XS GND,2010-04-01T09:38:09,
119,244362.944,2385048.628,306.370,XS GND,2010-04-01T09:38:25,
120,244364.242,2385048.361,306.131,XS GND,2010-04-01T09:38:48,
121,244365.646,2385048.205,305.990,XS GND,2010-04-01T09:39:02,
122,244366.576,2385048.112,306.031,XS GND,2010-04-01T09:39:13,
123,244367.525,2385047.947,305.951,XS GND,2010-04-01T09:39:27,
124,244367.799,2385047.921,305.917,XS TW,2010-04-01T09:40:00,
125,244368.894,2385048.771,306.265,XS GND,2010-04-01T09:42:13,
126,244369.176,2385048.978,306.454,XS GND,2010-04-01T09:42:30,
127,244369.330,2385049.144,306.954,XS WSE,2010-04-01T09:43:05,
128,244368.491,2385047.846,310.578,XS TRE,2010-04-01T09:45:45,
129,244369.110,2385047.844,310.757,XS GND,2010-04-01T09:46:17,
130,244369.841,2385047.873,310.858,XS GND,2010-04-01T09:46:36,
131,244370.425,2385047.804,310.816,XS GND,2010-04-01T09:46:52,
132,244370.888,2385047.793,310.840,XS GND,2010-04-01T09:47:07,
133,244371.424,2385047.531,310.831,XS GND,2010-04-01T09:47:21,
134,244372.576,2385047.374,310.808,XS GND,2010-04-01T09:47:38,
135,244373.626,2385047.167,310.804,XS GND,2010-04-01T09:47:50,
136,244374.859,2385046.989,310.756,XS GND,2010-04-01T09:48:02,
137,244376.825,2385046.505,310.695,XS GND,2010-04-01T09:48:15,
138,244378.580,2385045.974,310.688,XS GND,2010-04-01T09:48:26,
139,244380.831,2385045.399,310.562,XS JEND GND,2010-04-01T09:48:41,
140,244236.044,2385140.365,311.246,XS JST GND,2010-04-01T10:02:58,XS-11
141,244236.220,2385142.301,311.023,XS GND,2010-04-01T10:03:15,
142,244236.350,2385143.903,310.923,XS GND,2010-04-01T10:03:28,
143,244236.480,2385145.665,310.942,XS GND,2010-04-01T10:03:40,
144,244236.605,2385147.303,310.988,XS GND,2010-04-01T10:03:52,
145,244236.735,2385148.754,310.867,XS GND,2010-04-01T10:04:03,
146,244237.020,2385150.752,310.783,XS GND,2010-04-01T10:04:17,
147,244237.015,2385152.333,310.745,XS GND,2010-04-01T10:04:29,
148,244237.111,2385153.751,310.805,XS GND,2010-04-01T10:04:42,
149,244237.242,2385154.852,310.536,XS GND,2010-04-01T10:05:00,
150,244237.279,2385155.547,310.593,XS GND,2010-04-01T10:05:11,
151,244237.419,2385156.825,310.735,XS GND,2010-04-01T10:05:24,
152,244237.459,2385158.446,310.822,XS GND,2010-04-01T10:05:38,
153,244237.395,2385160.158,310.610,XS GND,2010-04-01T10:05:50,
154,244237.380,2385161.202,310.319,XS GND,2010-04-01T10:06:08,
155,244237.460,2385161.796,309.834,XS GND,2010-04-01T10:06:22,
156,244237.757,2385162.455,308.398,XS WSE,2010-04-01T10:06:56,
157,244238.050,2385163.946,307.676,XS GND,2010-04-01T10:07:35,
158,244238.053,2385165.402,307.260,XS GND,2010-04-01T10:07:51,
159,244238.123,2385166.725,307.048,XS GND,2010-04-01T10:08:10,
160,244238.151,2385167.815,306.841,XS GND,2010-04-01T10:08:29,
161,244238.156,2385168.591,306.673,XS TW,2010-04-01T10:08:58,
162,244238.224,2385169.677,306.828,XS GND,2010-04-01T10:09:23,
163,244238.276,2385170.668,307.045,XS GND,2010-04-01T10:09:43,
164,244238.469,2385172.169,307.248,XS GND,2010-04-01T10:09:57,
165,244238.496,2385173.153,307.401,XS GND,2010-04-01T10:10:08,
166,244238.588,2385174.406,307.562,XS GND,2010-04-01T10:10:22,
167,244238.845,2385176.168,308.464,XS WSE,2010-04-01T10:11:21,
168,244238.862,2385176.412,308.829,XS GND,2010-04-01T10:11:45,
169,244238.886,2385176.971,309.140,XS GND,2010-04-01T10:11:55,
170,244238.862,2385178.307,309.512,XS GND,2010-04-01T10:12:06,
171,244238.891,2385178.869,309.794,XS GND,2010-04-01T10:12:18,
172,244239.082,2385179.852,310.827,XS GND,2010-04-01T10:12:48,
173,244239.081,2385180.291,312.330,XS TRE,2010-04-01T10:13:17,
174,244239.218,2385181.170,312.437,XS GND,2010-04-01T10:13:38,
175,244239.253,2385182.998,312.478,XS GND,2010-04-01T10:13:52,
176,244239.477,2385185.078,312.467,XS GND,2010-04-01T10:14:02,
177,244239.712,2385187.188,312.451,XS GND,2010-04-01T10:14:15,
178,244239.826,2385189.251,312.447,XS GND,2010-04-01T10:14:25,
179,244239.816,2385190.848,312.524,XS JEND GND,2010-04-01T10:14:36,
180,244112.647,2385208.631,313.596,XS JST GND,2010-04-01T10:21:21,XS-10
181,244113.108,2385209.772,313.331,XS GND,2010-04-01T10:21:39,
182,244113.850,2385211.235,312.812,XS GND,2010-04-01T10:21:51,
183,244114.732,2385212.703,312.334,XS GND,2010-04-01T10:22:02,
184,244115.370,2385214.080,311.926,XS GND,2010-04-01T10:22:14,
185,244116.052,2385215.120,311.644,XS GND,2010-04-01T10:22:25,
186,244116.809,2385216.219,311.186,XS GND,2010-04-01T10:22:37,
187,244117.189,2385216.980,311.323,XS GND,2010-04-01T10:22:46,
